gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401180,2025-04-11 21:00,Denver,Nuggets,1610612743,Memphis,Grizzlies,1610612763,117,109,1610612743,Regular Season,20015,1000046,,,0
22401178,2025-04-11 20:30,Dallas,Mavericks,1610612742,Toronto,Raptors,1610612761,124,102,1610612742,Regular Season,20177,193,,,0
22401176,2025-04-11 20:00,Chicago,Bulls,1610612741,Washington,Wizards,1610612764,119,89,1610612741,Regular Season,21400,66,,,0
22401177,2025-04-11 20:00,New Orleans,Pelicans,1610612740,Miami,Heat,1610612748,104,153,1610612748,Regular Season,17087,160,,,0
22401174,2025-04-11 19:30,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,130,94,1610612738,Regular Season,19156,17,,,0
22401175,2025-04-11 19:30,New York,Knicks,1610612752,Cleveland,Cavaliers,1610612739,102,108,1610612739,Regular Season,19812,30,,,0
22401171,2025-04-11 19:00,Detroit,Pistons,1610612765,Milwaukee,Bucks,1610612749,119,125,1610612749,Regular Season,20062,624,,,0
22401172,2025-04-11 19:00,Indiana,Pacers,1610612754,Orlando,Magic,1610612753,115,129,1610612753,Regular Season,17010,1000063,,,0
22401173,2025-04-11 19:00,Philadelphia,76ers,1610612755,Atlanta,Hawks,1610612737,110,124,1610612737,Regular Season,19752,419,,,0
22401170,2025-04-10 21:30,Memphis,Grizzlies,1610612763,Minnesota,Timberwolves,1610612750,125,141,1610612750,Regular Season,17007,242,,,0
22401161,2025-04-10 20:00,Milwaukee,Bucks,1610612749,New Orleans,Pelicans,1610612740,136,111,1610612749,Regular Season,17341,642,,,0
22401169,2025-04-10 19:30,Brooklyn,Nets,1610612751,Atlanta,Hawks,1610612737,109,133,1610612737,Regular Season,17926,461,,,0
22401167,2025-04-10 19:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,115,106,1610612765,Regular Season,20062,624,,,0
22401168,2025-04-10 19:00,Indiana,Pacers,1610612754,Cleveland,Cavaliers,1610612739,114,112,1610612754,Regular Season,17020,1000063,,,0
22401166,2025-04-09 22:30,Los Angeles,Clippers,1610612746,Houston,Rockets,1610612745,134,117,1610612746,Regular Season,17927,1000137,,,0
22401163,2025-04-09 22:00,Golden State,Warriors,1610612744,San Antonio,Spurs,1610612759,111,114,1610612759,Regular Season,18064,1000011,,,0
22401164,2025-04-09 22:00,Phoenix,Suns,1610612756,Oklahoma City,Thunder,1610612760,112,125,1610612760,Regular Season,17071,1000145,,,0
